0	a
1	a
2	b
3	c
4	c
5	a
6	b
7	a
8	c
9	a
10	a
11	b
12	a
13	c
14	b
15	b
16	c
17	c
18	a
19	b
20	b
21	c
22	c
23	a
24	c
25	a
26	a
27	c
28	b
29	a
30	c
31	b
32	b
33	a
34	a
35	a
36	c
37	a
38	c
39	c
40	a
41	b
42	b
43	c
44	c
45	c
46	c
47	c
48	b
49	a
50	a
51	b
52	c
53	b
54	a
55	a
56	b
57	c
58	a
59	c
60	a
61	b
62	c
63	c
64	b
65	a
66	b
67	a
68	b
69	c
70	a
71	c
72	a
73	c
74	c
75	b
76	a
77	a
78	a
79	a
80	b
81	c
82	a
83	c
84	a
85	b
86	c
87	a
88	a
89	b
90	c
91	a
92	c
93	a
94	b
95	c
96	c
97	c
98	b
99	a
100	c
101	c
102	a
103	b
104	a
105	b
106	b
107	b
108	a
109	c
110	c
111	a
112	c
113	c
114	a
115	b
116	c
117	a
118	b
119	a
120	c
121	b
122	c
123	a
124	b
125	c
126	c
127	a
128	a
129	b
130	c
131	c
132	b
133	c
134	a
135	a
136	c
137	b
138	b
139	b
140	b
141	b
142	c
143	b
144	a
145	b
146	c
147	c
148	a
149	a
150	c
151	c
152	b
153	b
154	c
155	a
156	a
157	a
158	c
159	b
160	c
161	c
162	a
163	a
164	a
165	b
166	b
167	b
168	b
169	b
170	b
171	c
172	c
173	b
174	a
175	b
176	b
177	a
178	b
179	b
180	c
181	a
182	b
183	a
184	b
185	c
186	b
187	a
188	a
189	a
190	b
191	c
192	b
193	b
194	c
195	a
196	c
197	b
198	c
199	b
200	b
201	a
202	c
203	a
204	c
205	c
206	c
207	a
208	a
209	b
210	a
211	a
212	c
213	b
214	c
215	a
216	c
217	a
218	a
219	a
220	b
221	a
222	c
223	b
224	b
225	c
226	a
227	c
228	c
229	a
230	b
231	c
232	a
233	a
234	c
235	c
236	c
237	c
238	b
239	c
240	b
241	c
242	b
243	c
244	b
245	b
246	a
247	b
248	c
249	b
250	c
251	c
252	a
253	a
254	a
255	a
256	b
257	c
258	a
259	a
260	c
261	b
262	c
263	a
264	a
265	c
266	c
267	c
268	b
269	c
270	c
271	c
272	a
